"id","ordering","model_name","nd_id/id"
"ans_account_move_line_1","1","account_move_line","and_opex_capex"
"ans_account_move_line_2","2","account_move_line","and_bu"
"ans_account_move_line_3","3","account_move_line","and_projet"
"ans_account_move_line_4","4","account_move_line","and_produit"
"ans_account_move_line_5","5","account_move_line","and_localisation"
"ans_hr_expense_line_1","1","hr_expense_line","and_opex_capex"
"ans_hr_expense_line_2","2","hr_expense_line","and_bu"
"ans_hr_expense_line_3","3","hr_expense_line","and_projet"
"ans_hr_expense_line_4","4","hr_expense_line","and_produit"
"ans_hr_expense_line_5","5","hr_expense_line","and_localisation"
"ans_account_account_1","1","account_account","and_liasse_fiscale"
"ans_account_account_2","2","account_account","and_reporting_groupe"
"ans_account_account_3","3","account_account","and_cle_de_ventilation"
"ans_res_partner_1","1","res_partner","and_commercial"
"ans_res_partner_2","2","res_partner","and_canal"
"ans_res_partner_3","3","res_partner","and_scoring"
